	TF	Target	Sources	PMIDs	N	Factor / Gene Name
7439	CDX2	UGT2B7	PAZAR	16788384	1	CDX2 / UGT2B7
7440	SPI1	IL10	HTRI	20072143	1	SPI1 / IL10
7441	SOX2	FGF4	TRRUST	10801796	1	SOX2 / FGF4
7442	TFAP2A	GAST	TRRUST	2566164	1	TFAP2A / GAST
7443	ETS1	MMP13	TRRUST	22270366	1	ETS1 / MMP13
7444	HEY1	ACTA2	TRRUST	18239137	1	HEY1 / ACTA2
7445	TP53	RAD51B	TRRUST	9878257	1	TP53 / RAD51B
7446	STAT3	DNMT1	TRRUST	16861352|21944426|19887607|23604529	4	STAT3 / DNMT1
7447	NFYA	ESR1	Fastforward	17903252	1	NFYA / ESR1
7448	SP3	CYP27A1	TRRUST	11867220	1	SP3 / CYP27A1
7449	STAT3	ETV6	TRRUST	15229229	1	STAT3 / ETV6
7450	PPARGC1A	CYP7A1	TRRUST	16891307	1	PPARGC1A / CYP7A1
7451	MYC	HSP90AB1	TFacTs	|11983916	2	MYC / HSP90AB1
7452	SKI	FHL2	TRRUST	14583455	1	SKI / FHL2
7453	CREB1	CASP8	TRRUST	18342014	1	CREB1 / CASP8
7454	STAT5A	IFNG	TRRUST	15528362	1	STAT5A / IFNG
7455	NKX2-1	STK11	TRRUST	23995788	1	NKX2-1 / STK11
7456	JUN	IL5RA	TRRUST	9742933	1	JUN / IL5RA
7457	RELA	CCL4	TRRUST	11342414	1	RELA / CCL4
7458	CREB1	UXT	HTRI|TRRUST	17761951|17761951	1	CREB1 / UXT
7459	ESR1	CHAT	TRRUST	10037443	1	ESR1 / CHAT
7460	E2F3	TP53BP2	TFacTs	|15731768|15592436	3	E2F3 / TP53BP2
7461	RUNX3	MMP9	TRRUST	21128246	1	RUNX3 / MMP9
7462	PPARG	CIITA	TRRUST	19358337|11861426|17611194	3	PPARG / CIITA
7463	NFIL3	IL1B	HTRI|TRRUST	8547328|8547328	1	NFIL3 / IL1B
7464	AR	ERBB3	TRRUST	21741601	1	AR / ERBB3
7465	MYC	IFRD2	HTRI	12695333	1	MYC / IFRD2
7466	TP53	PAX5	TRRUST	21319196	1	TP53 / PAX5
7467	HIF1A	ASS1	TRRUST	19934275	1	HIF1A / ASS1
7468	MYC	NTN3	HTRI	12695333	1	MYC / NTN3
7469	HOXC10	HOXB8	TRRUST	18534812	1	HOXC10 / HOXB8
7470	MYC	HSPA8	HTRI	12695333	1	MYC / HSPA8
7471	RXRA	RXRA	HTRI	11036068	1	RXRA / RXRA
7472	PITX1	TRIB2	TRRUST	21425961	1	PITX1 / TRIB2
7473	RELA	CSF1	TRRUST	18566389|11949945	2	RELA / CSF1
7474	TCF3	IGFBP6	PAZAR	14737101	1	TCF3 / IGFBP6
7475	STAT3	CXCL8	TRRUST	17726017	1	STAT3 / CXCL8
7476	NFKB1	BDKRB1	TRRUST	15705059	1	NFKB1 / BDKRB1
7477	MYCN	SLC25A19	HTRI	16093321	1	MYCN / SLC25A19
7478	ZBTB16	GFI1	TRRUST	19723763	1	ZBTB16 / GFI1
7479	JUND	IL3	TRRUST	8704203	1	JUND / IL3
7480	SPI1	HCK	TRRUST	21993313	1	SPI1 / HCK
7481	ABL1	CCND2	TRRUST	15509806	1	ABL1 / CCND2
7482	PLAGL1	PPARG	Fastforward	17178896	1	PLAGL1 / PPARG
7483	BCL6	CD80	TRRUST	12860928	1	BCL6 / CD80
7484	TBP	LIN28B	TRRUST	23494474	1	TBP / LIN28B
7485	JUN	PTGS2	HTRI|TRRUST	12057991|15772294|18294142|9620167|11278336|12057991|16339564|17556653|20237399	8	JUN / PTGS2
7486	NUPR1	TP53	TRRUST	22858377	1	NUPR1 / TP53
7487	ESR1	RUNX2	TRRUST	11604227	1	ESR1 / RUNX2
7488	JUN	TNC	TRRUST	9154819	1	JUN / TNC
7489	TFAP2A	SLC19A1	TRRUST	12228234	1	TFAP2A / SLC19A1
7490	CEBPB	IL6	TRRUST	10903137|8725624|11120852	3	CEBPB / IL6
7491	PAX6	MMP2	PAZAR|TRRUST	17047041|17047041	1	PAX6 / MMP2
7492	HOXB7	MMP2	TRRUST	21183939	1	HOXB7 / MMP2
7493	CEBPB	CYP19A1	HTRI|TRRUST	18182446|11994385|7635140|8603036	4	CEBPB / CYP19A1
7494	RELA	STC2	HTRI	18226221	1	RELA / STC2
7495	MYC	CXCL2	HTRI	12695333	1	MYC / CXCL2
7496	HIF1A	TIMP1	TFacTs	|10334664	2	HIF1A / TIMP1
7497	FOXO1	CCNB1	TFacTs	|17609436	2	FOXO1 / CCNB1
7498	ABL1	CSF1	TRRUST	23418320|18619508	2	ABL1 / CSF1
7499	FOXO1	PDGFA	TRRUST	19244250	1	FOXO1 / PDGFA
7500	CTCF	BCL6	TRRUST	20733034	1	CTCF / BCL6
7501	PREB	CD79A	PAZAR	11994467	1	PREB / CD79A
7502	CREB1	HLA-DOB	TRRUST	12938212	1	CREB1 / HLA-DOB
7503	YY1	NF1	TRRUST	15763658	1	YY1 / NF1
7504	EZH2	PEBP1	TRRUST	22505648	1	EZH2 / PEBP1
7505	SP1	IL10	HTRI|PAZAR|TRRUST	20072143|11278848|21309719|11278848|17202341	4	SP1 / IL10
7506	CEBPA	CSF1	TRRUST	9632776	1	CEBPA / CSF1
7507	HDAC7	ACTN4	TRRUST	16980305	1	HDAC7 / ACTN4
7508	STAT3	VIP	PAZAR|TFacTs	7595475|7713908|9642274|PMID: 11259431	4	STAT3 / VIP
7509	FOS	NPPA	TRRUST	1530876	1	FOS / NPPA
7510	IKBKB	VCAM1	TRRUST	18600306	1	IKBKB / VCAM1
7511	NR5A1	CYP11B2	TRRUST	21169726	1	NR5A1 / CYP11B2
7512	MYC	FGFR4	HTRI	12695333	1	MYC / FGFR4
7513	CEBPB	IL10	TRRUST	12493739	1	CEBPB / IL10
7514	RB1	CDK1	TRRUST	8270002	1	RB1 / CDK1
7515	MEF2D	JUN	Fastforward|TRRUST	7760790|8798771|12054430	3	MEF2D / JUN
7516	GATA3	PACSIN1	HTRI	19559773	1	GATA3 / PACSIN1
7517	GATA2	AR	TRRUST	24423874	1	GATA2 / AR
7518	YBX1	MYCN	TRRUST	17072343	1	YBX1 / MYCN
7519	DDX5	H19	TRRUST	20966046	1	DDX5 / H19
7520	RFX5	HLA-DOB	TRRUST	11258423	1	RFX5 / HLA-DOB
7521	JUN	CYP19A1	TRRUST	16810058	1	JUN / CYP19A1
7522	JUN	TERT	TRRUST	20842112	1	JUN / TERT
7523	PPARG	ERO1A	TRRUST	18177270	1	PPARG / ERO1A
7524	RORC	IL17A	TRRUST	19578368	1	RORC / IL17A
7525	CIITA	COL1A1	TRRUST	16439692	1	CIITA / COL1A1
7526	STAT1	IDO1	PAZAR	7553221	1	STAT1 / IDO1
7527	FOXO1	NLK	TRRUST	23144700	1	FOXO1 / NLK
7528	TFDP1	TYMS	TRRUST	14618416	1	TFDP1 / TYMS
7529	MYBL2	COL1A1	TRRUST	14613485	1	MYBL2 / COL1A1
7530	CEBPD	PTGS2	HTRI|TRRUST	10956548|7559624	2	CEBPD / PTGS2
7531	SRF	MMP2	TRRUST	12654640	1	SRF / MMP2
7532	CTCF	DEFB123	ORegAnno	22951020	1	CTCF / DEFB123
7533	ESR1	BARD1	HTRI	17275994	1	ESR1 / BARD1
7534	ATF6	RTN3	TRRUST	17191123	1	ATF6 / RTN3
7535	FOXO1	MCM5	TFacTs	|17609436	2	FOXO1 / MCM5
7536	HNF4A	MYC	TRRUST	23714368	1	HNF4A / MYC
7537	STAT1	CEBPE	TRRUST	16918696	1	STAT1 / CEBPE
7538	GLI2	MUC5AC	TRRUST	20972463	1	GLI2 / MUC5AC
7539	SP1	FN1	HTRI	8803927	1	SP1 / FN1
7540	STAT1	FGF2	TRRUST	23086340	1	STAT1 / FGF2
7541	RELA	GABPB2	HTRI	18226221	1	RELA / GABPB2
7542	FUBP1	MYC	Fastforward|TRRUST	2211718|7713931|8125259|8649373|11239393|18193062|24117486	7	FUBP1 / MYC
7543	YY1	INO80	TRRUST	17721549	1	YY1 / INO80
7544	E2F1	IRF3	TFacTs|TRRUST	|19826915|21225257|21225257|22464952	4	E2F1 / IRF3
7545	ELL	BAX	TRRUST	15851483	1	ELL / BAX
7546	FOXP3	BRCA1	TRRUST	23319807	1	FOXP3 / BRCA1
7547	E2F1	BORA	HTRI	15033491	1	E2F1 / BORA
7548	ATF4	NDC80	TRRUST	17822787	1	ATF4 / NDC80
7549	SATB1	CDK4	TRRUST	22583549	1	SATB1 / CDK4
7550	GLI2	FOXF1	TRRUST	23034409|19360354	2	GLI2 / FOXF1
7551	EWSR1	TGFBR2	TRRUST	10508522	1	EWSR1 / TGFBR2
7552	TRERF1	LILRB4	TRRUST	18652845	1	TRERF1 / LILRB4
7553	NFKB1	HES1	TRRUST	17876798	1	NFKB1 / HES1
7554	MYC	MEN1	HTRI	12695333	1	MYC / MEN1
7555	E2F6	CHEK2	HTRI	12909625	1	E2F6 / CHEK2
7556	TP53	SERTAD1	ORegAnno|PAZAR	15843459|15843459	1	TP53 / SERTAD1
7557	PAX5	FCER2	TRRUST	12731041	1	PAX5 / FCER2
7558	GATA3	PF4	HTRI	19559773	1	GATA3 / PF4
7559	GATA1	YBX1	Fastforward	12646178	1	GATA1 / YBX1
7560	ELF3	KRT4	TRRUST	10773884	1	ELF3 / KRT4
7561	FLI1	ID2	TRRUST	12447693	1	FLI1 / ID2
7562	ESR1	CYP1B1	TRRUST	15126349	1	ESR1 / CYP1B1
7563	HDAC3	GTF2I	TRRUST	21549311	1	HDAC3 / GTF2I
7564	SPI1	PRTN3	PAZAR|TRRUST	8943304|10677505	2	SPI1 / PRTN3
7565	TP63	TP63	Fastforward	14576823	1	TP63 / TP63
7566	ESR2	HOXA10	HTRI	17311863	1	ESR2 / HOXA10
7567	NR1I2	CCM2L	HTRI	19129222	1	NR1I2 / CCM2L
7568	CREB1	AR	TRRUST	15994978|21457548	2	CREB1 / AR
7569	EZH2	HOXA7	HTRI	18460542	1	EZH2 / HOXA7
7570	NFKB1	BIRC5	TRRUST	17553314|14739605|20126979	3	NFKB1 / BIRC5
7571	NFIL3	AREG	TRRUST	1620116	1	NFIL3 / AREG
7572	MEFV	TNNI1	ORegAnno	15933209	1	MEFV / TNNI1
7573	NFIC	FABP7	TRRUST	10896661|19540848|21771320	3	NFIC / FABP7
7574	LMO2	NFATC1	TRRUST	22517897	1	LMO2 / NFATC1
7575	SPDEF	MMP9	TRRUST	20550708|22761428	2	SPDEF / MMP9
7576	RUNX1	MECOM	TRRUST	22689058	1	RUNX1 / MECOM
7577	SMAD3	SMAD7	HTRI|Fastforward|TRRUST	10823886|12761881|10753944|16714330|12761881|10559222|10823886	5	SMAD3 / SMAD7
7578	GATA6	DAB2	TRRUST	16024609	1	GATA6 / DAB2
7579	GFI1	NF1	TRRUST	14504408	1	GFI1 / NF1
7580	NR2F2	E2F1	TRRUST	22734039	1	NR2F2 / E2F1
7581	NEAT1	CXCL8	TRRUST	24507715	1	NEAT1 / CXCL8
7582	NFYB	TARBP2	Fastforward	16343534	1	NFYB / TARBP2
7583	POU2F2	ID2	TRRUST	24801987	1	POU2F2 / ID2
7584	AR	ARG2	TRRUST	20711410	1	AR / ARG2
7585	PML	IFNB1	TRRUST	11042692	1	PML / IFNB1
7586	SOX9	DCC	TRRUST	19745029	1	SOX9 / DCC
7587	FOXO1	NEK2	TFacTs	|17609436	2	FOXO1 / NEK2
7588	RELA	IL1RN	TRRUST	20032313	1	RELA / IL1RN
7589	NFKB1	SLC25A27	TRRUST	20385226	1	NFKB1 / SLC25A27
7590	NFIA	TP53	PAZAR	8816507	1	NFIA / TP53
7591	ABL1	BAX	TRRUST	11753601	1	ABL1 / BAX
7592	FOXO3	CBLB	TFacTs	|12351634	2	FOXO3 / CBLB
7593	MYC	ATF3	TRRUST	21384303	1	MYC / ATF3
7594	PDX1	ONECUT1	Fastforward	15047618	1	PDX1 / ONECUT1
7595	TFAP2A	KISS1	TRRUST	16260418	1	TFAP2A / KISS1
7596	KLF5	FASN	TRRUST	18774944	1	KLF5 / FASN
7597	E2F3	PLK4	TFacTs	|18439978	2	E2F3 / PLK4
7598	JUN	BATF3	TRRUST	12087103	1	JUN / BATF3
7599	NFE2L2	CAT	TRRUST	22493435	1	NFE2L2 / CAT
7600	TP73	TP73	Fastforward	11909952|12032848	2	TP73 / TP73
7601	NR2C1	EPO	HTRI	7891708	1	NR2C1 / EPO
7602	SRF	PLG	TRRUST	15514113	1	SRF / PLG
7603	SREBF1	HK2	HTRI|TRRUST	14747281|14747281	1	SREBF1 / HK2
7604	KLF4	KRT19	TRRUST	10859317	1	KLF4 / KRT19
7605	VDR	IL10	HTRI|TRRUST	20691220|20691220	1	VDR / IL10
7606	NFKB1	NFKB1	HTRI|Fastforward|TRRUST	14570916|8454856|8666258|9190210|19469019	5	NFKB1 / NFKB1
7607	RELA	BCL3	Fastforward|TRRUST	11387332|11387332	1	RELA / BCL3
7608	CEBPA	MAD1L1	TRRUST	21345218	1	CEBPA / MAD1L1
7609	ELK1	PDGFB	TRRUST	9690620	1	ELK1 / PDGFB
7610	MYC	MCM7	HTRI	12695333	1	MYC / MCM7
7611	SP1	MAT2B	TRRUST	11337507	1	SP1 / MAT2B
7612	GATA3	SPART	HTRI	19559773	1	GATA3 / SPART
7613	STAT2	SP100	Fastforward	8810287	1	STAT2 / SP100
7614	STAT3	CFLAR	TRRUST	18222423	1	STAT3 / CFLAR
7615	CTCF	CCL16	ORegAnno	22951020	1	CTCF / CCL16
7616	VHL	HIF1A	TRRUST	11987242|11727931|19238077	3	VHL / HIF1A
7617	GLI2	BMP7	TFacTs	|14691458	2	GLI2 / BMP7
7618	RARA	MUC5AC	TRRUST	11171071	1	RARA / MUC5AC
7619	RELA	IL18	TRRUST	15963597|17399992|10227974	3	RELA / IL18
7620	HSF2	FOS	TRRUST	17915561	1	HSF2 / FOS
7621	MDM4	TP53	TRRUST	11528400|17499002|17875722|19910468	4	MDM4 / TP53
7622	FOXO1	TNFSF10	TFacTs|TRRUST	|15632117|12351634|23630076	4	FOXO1 / TNFSF10
7623	JUND	ST7	ORegAnno	22951020	1	JUND / ST7
7624	HSF1	HSPA1A	TRRUST	17897941|20692357|23212905|23874968	4	HSF1 / HSPA1A
7625	MYBL2	MYBL2	TRRUST	15922873	1	MYBL2 / MYBL2
7626	SP1	FOS	HTRI|Fastforward|TRRUST	9528985|8475068|10478842|9528985|9528985	3	SP1 / FOS
7627	SMAD4	APOC3	TFacTs|TRRUST	10995777|10995777	1	SMAD4 / APOC3
7628	PROX1	AKT2	TRRUST	22982861	1	PROX1 / AKT2
7629	RELA	ABCA1	TRRUST	17135302	1	RELA / ABCA1
7630	SP1	LDHC	TRRUST	18930904	1	SP1 / LDHC
7631	VDR	CDKN1B	HTRI|TRRUST	15064717|16518840	2	VDR / CDKN1B
7632	DAXX	AIRE	TRRUST	20185822	1	DAXX / AIRE
7633	BRCA1	MDC1	TRRUST	22942284	1	BRCA1 / MDC1
7634	HDAC9	STAT6	TRRUST	21106524	1	HDAC9 / STAT6
7635	ONECUT1	FOXA2	Fastforward	17283222|9915796	2	ONECUT1 / FOXA2
7636	STAT4	IRF4	Fastforward	14581002	1	STAT4 / IRF4
7637	NEUROD1	IGFBP2	HTRI	19679880	1	NEUROD1 / IGFBP2
7638	WT1	IGF2	HTRI|TRRUST	8634146|1323141|7535092|8634146|10606246	4	WT1 / IGF2
7639	IRF9	IRF7	Fastforward	10924517	1	IRF9 / IRF7
7640	CEBPA	TNFRSF1A	HTRI	19523687	1	CEBPA / TNFRSF1A
7641	MYOD1	SLC9A2	TRRUST	11254504	1	MYOD1 / SLC9A2
7642	GATA2	C4orf46	ORegAnno	22951020	1	GATA2 / C4orf46
7643	EZH2	BRCA1	TRRUST	21406404	1	EZH2 / BRCA1
7644	GATA2	TFR2	ORegAnno	22951020	1	GATA2 / TFR2
7645	IRF1	IFNA13	TRRUST	12077266	1	IRF1 / IFNA13
7646	E2F1	KIF23	HTRI|TFacTs	19015243||19015243	2	E2F1 / KIF23
7647	SP4	ASS1	TRRUST	19934275	1	SP4 / ASS1
7648	HDAC3	MYC	TRRUST	19279113|23079660|23714368	3	HDAC3 / MYC
7649	TP53	BTG3	TRRUST	18590053	1	TP53 / BTG3
7650	FOSB	CXCL8	TRRUST	20826776	1	FOSB / CXCL8
7651	ID2	CDKN1A	TFacTs	|17639499	2	ID2 / CDKN1A
7652	ETS1	NDRG1	TRRUST	18381358	1	ETS1 / NDRG1
7653	STAT3	CSRP1	TRRUST	8621622|18292576	2	STAT3 / CSRP1
7654	E2F1	FBXL16	TFacTs	|20043084	2	E2F1 / FBXL16
7655	RARA	TPO	HTRI	14725900	1	RARA / TPO
7656	YY1	GLG1	ORegAnno	22951020	1	YY1 / GLG1
7657	SREBF1	CYP4F2	TFacTs	|17142457	2	SREBF1 / CYP4F2
7658	LEF1	E2F1	TFacTs	|17980157	2	LEF1 / E2F1
7659	SP1	ITGAX	HTRI|TRRUST	8649405|7678251|8649405	2	SP1 / ITGAX
7660	HNF1A	GPR39	TRRUST	17488974	1	HNF1A / GPR39
7661	SP1	SLC25A20	TRRUST	21130740	1	SP1 / SLC25A20
7662	E2F4	DDX11	HTRI	11799066	1	E2F4 / DDX11
7663	HIF1A	GCK	TRRUST	14612449	1	HIF1A / GCK
7664	NFE2	TBXA2R	HTRI|TRRUST	18698092|18698092	1	NFE2 / TBXA2R
7665	HIF1A	E2F3	TRRUST	20308562	1	HIF1A / E2F3
7666	AR	CDH1	TRRUST	18794357	1	AR / CDH1
7667	E2F1	NELL2	TRRUST	23829315	1	E2F1 / NELL2
7668	STAT1	IRF8	TRRUST	16918696|19074829	2	STAT1 / IRF8
7669	GCM2	PTH	TRRUST	20558332	1	GCM2 / PTH
7670	NFKB1	TRAF1	TRRUST	11297551|17018379|19343319|9733827|10823821|14991743|17673602	7	NFKB1 / TRAF1
7671	ESR2	PENK	HTRI	20034404	1	ESR2 / PENK
7672	RELA	MADCAM1	TRRUST	15483224	1	RELA / MADCAM1
7673	PGR	ESR1	HTRI|TRRUST	19147702|16982776	2	PGR / ESR1
7674	SOX9	HES1	TRRUST	19322650	1	SOX9 / HES1
7675	MYC	BSG	HTRI	12695333	1	MYC / BSG
7676	GATA3	EPHA7	HTRI	19559773	1	GATA3 / EPHA7
7677	MTA1	SMAD7	TRRUST	22841502	1	MTA1 / SMAD7
7678	HDAC10	TXNIP	TRRUST	20680488	1	HDAC10 / TXNIP
7679	MBD2	KLK10	TRRUST	21693597	1	MBD2 / KLK10
7680	MYC	MUC5B	HTRI	12695333	1	MYC / MUC5B
7681	USF1	CYP1A1	TRRUST	9388470	1	USF1 / CYP1A1
7682	JUN	LDHA	TRRUST	9723176	1	JUN / LDHA
7683	E2F1	RAD51	HTRI|TFacTs|TRRUST	12629508||16398215|23285190	4	E2F1 / RAD51
7684	FOXO3	SCG5	TFacTs	18239069	1	FOXO3 / SCG5
7685	PARP1	IFNAR1	TRRUST	19501422	1	PARP1 / IFNAR1
7686	FOSL1	GCLC	HTRI|TRRUST	11912197|16054171	2	FOSL1 / GCLC
7687	SNAI2	MMP17	TRRUST	20019845	1	SNAI2 / MMP17
7688	SMAD3	ANKRD1	TFacTs	11139470	1	SMAD3 / ANKRD1
7689	GATA3	NRCAM	HTRI	19735555	1	GATA3 / NRCAM
7690	TBX5	GJA5	TRRUST	18451335	1	TBX5 / GJA5
7691	POU1F1	VDR	TRRUST	17456792	1	POU1F1 / VDR
7692	RELA	SERPINA3	TRRUST	11027208	1	RELA / SERPINA3
7693	APC	PTGS2	TRRUST	10772828|12566320|11396184	3	APC / PTGS2
7694	RELA	PROX1	TRRUST	19901262	1	RELA / PROX1
7695	LBP	IL4	PAZAR	10973979	1	LBP / IL4
7696	NFKB1	OLR1	TRRUST	15001526	1	NFKB1 / OLR1
7697	HOXB7	DAPK1	TRRUST	17540169	1	HOXB7 / DAPK1
7698	TFDP1	TP53	Fastforward|TRRUST	8524253|8557038	2	TFDP1 / TP53
7699	ATF3	ADIPOR1	TRRUST	20696134	1	ATF3 / ADIPOR1
7700	ZEB1	BCL6	TRRUST	20175752	1	ZEB1 / BCL6
7701	GLI2	TNC	TFacTs	|14691458	2	GLI2 / TNC
7702	PPARG	ATP2A2	TRRUST	22240811	1	PPARG / ATP2A2
7703	CIITA	HLA-DMA	TRRUST	9300700|7495736	2	CIITA / HLA-DMA
7704	E2F2	BRCA1	HTRI	17106239	1	E2F2 / BRCA1
7705	E2F1	PPARG	TFacTs|TRRUST	|12110166|12110166|20971808	3	E2F1 / PPARG
7706	KAT2B	CLOCK	TRRUST	14645221	1	KAT2B / CLOCK
7707	RELA	TLR3	TRRUST	20658750|16423052	2	RELA / TLR3
7708	EP300	RELA	TRRUST	21146504	1	EP300 / RELA
7709	JARID2	MYH6	TRRUST	18805276	1	JARID2 / MYH6
7710	RFX5	HLA-F	HTRI	14678199	1	RFX5 / HLA-F
7711	HNF1A	ST6GAL1	TFacTs	|1737800	2	HNF1A / ST6GAL1
7712	NFATC2	IFNG	TRRUST	12836278	1	NFATC2 / IFNG
7713	HDAC1	HMGCS1	TRRUST	12626711	1	HDAC1 / HMGCS1
7714	MYC	YWHAE	TFacTs	|11983916	2	MYC / YWHAE
7715	ATF5	ID1	TRRUST	18701499	1	ATF5 / ID1
7716	E2F8	E2F1	TRRUST	18202719	1	E2F8 / E2F1
7717	HIF1A	CCND1	TRRUST	20179204	1	HIF1A / CCND1
7718	CTCF	CSF2	TRRUST	19158269	1	CTCF / CSF2
7719	JUN	PCK2	TRRUST	1325459	1	JUN / PCK2
7720	NFE2L2	MTHFR	TRRUST	16551619	1	NFE2L2 / MTHFR
7721	POU2AF1	IGH	TRRUST	1423591	1	POU2AF1 / IGH
7722	USF1	HOXB4	HTRI|Fastforward|TRRUST	11085749|11085749|12791656|11085749	2	USF1 / HOXB4
7723	HNF1A	G6PC	ORegAnno	15933209	1	HNF1A / G6PC
7724	GATA3	RHOH	HTRI	19559773	1	GATA3 / RHOH
7725	FOXA2	COL18A1	TRRUST	11093745	1	FOXA2 / COL18A1
7726	GATA2	GATA1	TRRUST	23071749|19279013	2	GATA2 / GATA1
7727	NFYB	HBB	TRRUST	15833715	1	NFYB / HBB
7728	NCOR1	ESR1	TRRUST	20101232	1	NCOR1 / ESR1
7729	HDAC2	CAD	TRRUST	14559996	1	HDAC2 / CAD
7730	GLI2	PI3	TFacTs	|14691458	2	GLI2 / PI3
7731	NME1-NME2	MYC	Fastforward	2601711|8392752	2	NME1-NME2 / MYC
7732	MYC	PEX14	HTRI	12747840	1	MYC / PEX14
7733	MYC	ODC1	HTRI|TRRUST	19789310|8262968|21874531|8262968|19789310	3	MYC / ODC1
7734	NR0B1	CYP19A1	TRRUST	12213901|22427816	2	NR0B1 / CYP19A1
7735	FOS	BATF3	TRRUST	12087103	1	FOS / BATF3
7736	HDAC5	WT1	TRRUST	18064385	1	HDAC5 / WT1
7737	NAB1	MSLN	TRRUST	23025254	1	NAB1 / MSLN
7738	AHR	IL6	TRRUST	20511231|18483242|23349129	3	AHR / IL6
7739	E2F1	PPT2	HTRI	12629508	1	E2F1 / PPT2
7740	GATA3	SLIT2	HTRI	19559773	1	GATA3 / SLIT2
7741	SRF	FHL2	TRRUST	22456196	1	SRF / FHL2
7742	MYC	ARF1	HTRI	12695333	1	MYC / ARF1
7743	APEX1	NFKB1	TRRUST	17045925	1	APEX1 / NFKB1
7744	MYC	UNG	TFacTs	|9490791	2	MYC / UNG
7745	SKI	SMAD7	HTRI	15128733	1	SKI / SMAD7
7746	GATA3	RING1	HTRI	19559773	1	GATA3 / RING1
7747	RELA	PDK4	TRRUST	21625432	1	RELA / PDK4
7748	APC	KLF4	TRRUST	12387883	1	APC / KLF4
7749	SP1	RETN	TRRUST	20360975	1	SP1 / RETN
7750	AR	NAT1	TRRUST	17210686	1	AR / NAT1
7751	NFYA	FMR1	HTRI	16886907	1	NFYA / FMR1
7752	RELA	CCND2	TRRUST	18504428|21790895	2	RELA / CCND2
7753	MBD2	MYOG	TRRUST	19949307	1	MBD2 / MYOG
7754	SP1	CDC25A	TFacTs	|16598773	2	SP1 / CDC25A
7755	MYC	PKP1	HTRI	12695333	1	MYC / PKP1
7756	SP1	RPS3A	TRRUST	12463423	1	SP1 / RPS3A
7757	EGR1	STMN1	TRRUST	19786090	1	EGR1 / STMN1
7758	NFKB1	TNFSF10	TRRUST	11544302|20542572|21243522	3	NFKB1 / TNFSF10
7759	CDKN2A	FANCD2	TFacTs	18438432	1	CDKN2A / FANCD2
7760	STAT4	IL2RA	TRRUST	10068671	1	STAT4 / IL2RA
7761	HIF1A	VIM	TRRUST	22295844	1	HIF1A / VIM
7762	E2F1	CDCA7	TRRUST	16580749	1	E2F1 / CDCA7
7763	CREM	ZAP70	TRRUST	16237091	1	CREM / ZAP70
7764	AR	HMMR	TRRUST	18174258	1	AR / HMMR
7765	AR	MYC	TRRUST	24512546	1	AR / MYC
7766	CTCF	DMKN	ORegAnno	22951020	1	CTCF / DMKN
7767	WT1	CDH1	TRRUST	23298185|23945386	2	WT1 / CDH1
7768	E2F4	CDT1	TFacTs	|14990995	2	E2F4 / CDT1
7769	HSF1	SERPINE1	TRRUST	17259369|19401454	2	HSF1 / SERPINE1
7770	HDAC1	RHOB	TRRUST	13679859	1	HDAC1 / RHOB
7771	SFPQ	TH	TRRUST	16731528	1	SFPQ / TH
7772	STAT1	MED16	ORegAnno	22951020	1	STAT1 / MED16
7773	GLI2	FOXE1	TFacTs|TRRUST	|14691458|15367491|15140221|19360354	5	GLI2 / FOXE1
7774	TFAP2C	RET	TRRUST	22878616	1	TFAP2C / RET
7775	MSC	CDC6	TRRUST	15213307	1	MSC / CDC6
7776	PREB	PRL	TRRUST	20411477	1	PREB / PRL
7777	STAT3	STAT1	TRRUST	22693070	1	STAT3 / STAT1
7778	MYC	PER1	HTRI	12695333	1	MYC / PER1
7779	SP1	KIT	HTRI|TRRUST	9834219|9834219	1	SP1 / KIT
7780	HDAC2	SNAI2	TRRUST	23836662	1	HDAC2 / SNAI2
7781	TTF2	TSG101	TRRUST	21556761	1	TTF2 / TSG101
7782	AR	CDH2	ORTI|TRRUST	17297473|17297473|18535113	2	AR / CDH2
7783	HDAC1	NFKB1	TRRUST	24448807	1	HDAC1 / NFKB1
7784	MTA1	SNAI2	TRRUST	18719363	1	MTA1 / SNAI2
7785	NR1I2	GLDC	HTRI	19129222	1	NR1I2 / GLDC
7786	NPAS3	VGF	TRRUST	21709683	1	NPAS3 / VGF
7787	EZH2	TP53	TRRUST	20132185|24006445	2	EZH2 / TP53
7788	CEBPA	ITGAX	TRRUST	9360988	1	CEBPA / ITGAX
7789	FOXA1	BRCA1	TRRUST	16331276	1	FOXA1 / BRCA1
7790	CEBPD	PRL	TRRUST	10455153	1	CEBPD / PRL
7791	PPARG	YBX1	Fastforward	15313206	1	PPARG / YBX1
7792	MITF	HIF1A	Fastforward|TRRUST	15983061|22012259	2	MITF / HIF1A
7793	SOX2	ITGA6	TRRUST	22311737	1	SOX2 / ITGA6
7794	RARB	ADH5	HTRI|TRRUST	1996113|1996113	1	RARB / ADH5
7795	CREB1	SMAD6	TRRUST	14755548	1	CREB1 / SMAD6
7796	SP3	MUC4	TRRUST	11418607	1	SP3 / MUC4
7797	EHMT2	RUNX3	TRRUST	18850007	1	EHMT2 / RUNX3
7798	RBPJ	NFKBIA	Fastforward	9528780|7937093	2	RBPJ / NFKBIA
7799	STAT1	SMARCA4	TRRUST	16195385	1	STAT1 / SMARCA4
7800	PTTG1	DOCK1	TRRUST	22081074	1	PTTG1 / DOCK1
