TF	Target	Sources	PMIDs	N
GLI2	JUNB	TFacTs	|14691458	2
FOXL1	BMP4	TRRUST	17873379	1
GATA3	CXCL1	TRRUST	22120723	1
GLI2	TGFBI	TFacTs	|14691458	2
TP53	TP53I3	TRRUST	10101800|14695213|12851404	3
TFAP2A	IMPDH2	TRRUST	7896827	1
MYC	DDX11	HTRI	12747840	1
SP1	KCTD11	TRRUST	20591193	1
E2F1	TP53INP1	TRRUST	15706352	1
MYC	HNF1A	Fastforward	10891489	1
FOXO3	PLAU	TFacTs	|18239069	2
SRY	TH	TRRUST	20124442|22568433	2
HIF1A	TGFB3	TRRUST	16611863|10831118	2
CIITA	FASLG	TRRUST	14563113	1
MYC	SRSF1	HTRI|TRRUST	12747840|22545246	2
TGIF1	DRD1	PAZAR	10764806	1
TWIST1	FOS	TRRUST	19051271	1
TFDP1	MYBL2	TRRUST	14618416	1
RFX1	HLA-DPB1	TRRUST	11889043	1
FOXO1	DAPK1	TFacTs	|12351634	2
MSX2	BCL2	TRRUST	21730974	1
HDAC1	SPP1	TRRUST	20609221|22422937	2
E2F6	METTL2B	HTRI	12909625	1
CREB1	JUN	TRRUST	8647095|10403485	2
EP300	IGF1	TRRUST	18281476	1
VDR	TNFRSF21	TRRUST	12520529	1
E2F1	ASF1B	HTRI|TFacTs|TRRUST	17328667||17328667|17328667	2
SP3	KLK3	HTRI|TRRUST	15708372|15708372	1
KLF12	PRL	TRRUST	23458459	1
E2F4	CDKN2C	TFacTs	|12077144	2
NR1H3	PCK2	TFacTs	|19258656	2
MYC	HBP1	HTRI	12747840	1
MITF	NGFR	TFacTs	|1999537|19067971	3
BCL11A	GATA1	TRRUST	23071749|20542454	2
STAT1	CDKN1A	TFacTs|TRRUST	|10866323|10023678	3
KLF4	LXN	TRRUST	23364479	1
JUN	VIM	ORegAnno|PAZAR	7986748|7986748	1
NFKB1	SDC1	TRRUST	16132527	1
NR1H4	FABP6	TRRUST	10514450	1
RELA	TNFRSF10A	TRRUST	21243522	1
GATA2	PPARG	HTRI|TRRUST	15896659|19772889	2
NR1I2	A2ML1	HTRI	19129222	1
KAT2B	ZEB1	TRRUST	22384255	1
CTCF	ETNK2	TRRUST	18632798	1
HDAC9	IGFBP1	TRRUST	12609987	1
TEF	MYH6	ORegAnno	15933209	1
ESR1	CYP2C19	HTRI|TRRUST	20675569|20675569	1
CDX1	DSC2	HTRI|TRRUST	18819935|18819935	1
RB1	TFDP1	TRRUST	8223441	1
PML	CCND1	TRRUST	15529177	1
NFKB1	NQO1	HTRI	9058597	1
HOPX	FOS	TRRUST	19173292	1
CREB1	SPRY2	TRRUST	14644509	1
ETS1	SLC26A3	TRRUST	7935445	1
XBP1	CCL2	TRRUST	16931790	1
SP1	NOX4	HTRI	21235713	1
GATA3	CD8A	HTRI|TRRUST	11937547|8413295	2
TRPS1	KLK3	TRRUST	14680804	1
PURA	PCNA	TRRUST	18386260	1
MYC	TCIRG1	HTRI	12695333	1
EGR1	TFPI2	TRRUST	12757776	1
SHOX2	NPPB	TRRUST	24421874	1
TP53	CCND1	TRRUST	12808109	1
YY1	PAK4	ORegAnno	22951020	1
JUND	NR4A1	Fastforward	10567637	1
LEF1	LEF1	Fastforward	11326276	1
POU5F1	BMP4	TRRUST	17068183	1
MYC	ELK1	HTRI	12695333	1
KAT2B	TP73	TRRUST	19188449	1
STAT3	VEGFB	TRRUST	16899623|21731766	2
EP300	MMP9	TRRUST	18985009	1
E2F2	PLK4	TFacTs	|18439978	2
PAX2	WT1	Fastforward|TRRUST	9361007|9178767	2
ASH1L	TIMP1	TRRUST	22488473	1
CIITA	IL4	TRRUST	10946277|17645498	2
TFCP2	TYMS	TRRUST	16973241|19622726	2
SNIP1	MYC	TRRUST	17157259	1
HMGB2	GFI1B	TRRUST	19965638	1
TAL1	CDH23	HTRI	20028976	1
ETS2	CD163	TRRUST	10725797	1
STAT4	NOX4	TRRUST	19834108	1
JUNB	FOSL1	Fastforward	13679379	1
APC	DLG1	TRRUST	21858148	1
SP1	APAF1	TRRUST	15972851	1
MYC	EXOSC8	HTRI|TFacTs	12747840||12747840	2
ATF2	NOS3	HTRI|TRRUST	16497991|16497991	1
RELA	MUC5B	TRRUST	20935193	1
SP1	MMP11	TRRUST	22227581	1
MYC	LDHA	TRRUST	9723176	1
TWIST1	FN1	TRRUST	20646316	1
IRF1	CCNE1	TRRUST	22200613	1
SP1	CD163	TRRUST	10725797	1
TCF4	JUN	TRRUST	19671687	1
MYC	DLEU1	HTRI|TFacTs	12747840||12747840|12808131	3
MYC	VEGFA	TRRUST	19398483|18809243	2
NFKB1	SOD2	TRRUST	11880364|14515147|19507253|15330761|18779124	5
GLI3	VMP1	TRRUST	22535956	1
RFX5	HLA-DRB5	TRRUST	11258423	1
PPARD	TXN	TRRUST	18048767	1
HIF1A	HSP90B1	TFacTs	|15620698	2
CREB1	PLAU	TRRUST	11776974	1
FOXO1	SMAD4	TFacTs	|12351634	2
MAZ	PPARG	Fastforward	19061500	1
PHOX2A	DBH	PAZAR|TRRUST	9763470|9798905|11948255|16280598|11034547	5
FOXA1	TFF1	PAZAR|TRRUST	10073575|10073575	1
FOXA1	C4BPB	PAZAR	1990282	1
NKX2-5	CTNNB1	Fastforward|TRRUST	19479054|19479054	1
NFKB1	BAX	TRRUST	18158998|20056115	2
MXD1	ODC1	HTRI|TRRUST	19789310|19789310	1
SREBF1	SCD5	TRRUST	22510410	1
GATA4	HDAC9	TRRUST	18332107	1
MYC	NEUROD1	Fastforward	11799123	1
ESR1	ODF2	HTRI	20034404	1
NFKB1	BMP2	TRRUST	16835229	1
RELA	FASLG	TRRUST	12655294|16770006|10671224|14563113|15160330	5
TP63	ZNF750	TRRUST	22922031	1
GATA2	HTR5A	ORegAnno	22951020	1
HEXIM1	VEGFA	TRRUST	20453883	1
ATF2	DUSP1	TRRUST	17681939	1
SOX2	TUBB3	TRRUST	20739473	1
SP1	TERF2	TRRUST	19783902	1
NCOR1	SNAI2	TRRUST	18588516	1
SOX9	NKX3-2	TFacTs	|19306868	2
ESR1	CYP19A1	TRRUST	12839940	1
SP1	THBD	HTRI|TRRUST	11036068|22406829|11036068	2
ATF6	WBP1	TRRUST	21841196	1
CEBPA	S100A9	HTRI|TRRUST	9706399|9706399	1
NFIC	MATN1	TRRUST	7730325	1
MXD1	PTEN	TRRUST	17998413	1
HNF1A	APOB	ORegAnno	15933209	1
EZH2	PIP5K1C	TRRUST	21216957	1
MEN1	GATA3	TRRUST	20484083	1
HNF4A	CYP2D6	TRRUST	11752221	1
HIF1A	ALOX5AP	TRRUST	20448047	1
EGR1	TCF4	TFacTs|TRRUST	|18798221|18798221	2
ZNF135	CDKN2A	HTRI	19340300	1
ZIC2	TCF4	TRRUST	21908606	1
HOXA10	EMX2	Fastforward|TRRUST	12482956|15494461|12482956|15126568|17350963	4
SP1	HTT	Fastforward|TRRUST	9536082|22399227	2
RXRA	RARB	Fastforward	1310259|1310350|1332041|1651173|1657595|1658797|1662118|1850832|2153268|2164682|2171781|2176152|7902566|8039499|8114692|8392478|8392479|9295294|9685410|10342883	20
RB1	E2F2	TRRUST	9671466	1
VDR	IFI27	HTRI	16518840	1
NFKB1	MICA	TRRUST	15494508	1
CREM	ACE	TRRUST	8901568	1
SP1	IMPDH2	TRRUST	7896827	1
ABL1	BCL6	TRRUST	15509806	1
TCF3	CDKN1A	TRRUST	15856770|23684607|19125693	3
STAT5A	IRF1	Fastforward	10068671|10358173|14993214	3
TP73	CDKN1A	TRRUST	12841870|17700533|16193303|19067706	4
CEBPB	TNF	TRRUST	10629048|9566900	2
RELA	NOS1	TRRUST	17081374	1
CREB1	ACACA	TRRUST	19842072	1
TP53	RACK1	HTRI	16980608	1
REL	NFKBIA	Fastforward	7937093	1
SNAI1	PEBP1	TRRUST	18477483|19538137	2
POU3F2	FOXP2	TRRUST	23197593	1
TWIST1	GLI1	Fastforward|PAZAR	11948912|11948912	1
FOSL1	ITGAV	TRRUST	23319049	1
TRIM25	DDX58	TRRUST	21292167	1
GLI1	BHLHE41	TRRUST	24165159	1
SIRT3	FOXO3	TRRUST	23665396	1
NR1I2	NPAS3	HTRI	19129222	1
ERCC2	CPD	TRRUST	12713809	1
EP300	YY1	TRRUST	11486036	1
REST	TH	PAZAR|TRRUST	16764822|16764822	1
APC	ODC1	TRRUST	12112318	1
NFE2	AHSP	HTRI	21232177	1
MYC	IPO7	TRRUST	22284678	1
NR2C2	CYP21A2	HTRI	11478808	1
GLI1	JUP	TFacTs	|11719506	2
USF1	CTSD	TRRUST	9731700	1
NR1I2	SYP	HTRI	19129222	1
NCOA1	HOXA10	Fastforward	15236964	1
TP53	EIF3B	HTRI	16980608	1
TGIF1	SERPINE1	TRRUST	19524896	1
BACH2	XBP1	TRRUST	24821775	1
PGR	HLTF	TRRUST	12890680	1
HOXA9	VCAM1	TRRUST	22269951	1
TBX21	NELFCD	TRRUST	21930963	1
RELA	FGF8	TRRUST	16683270	1
HOXA7	VIM	TRRUST	11742062	1
SPIB	CD40	TRRUST	10823830	1
EGR1	BCAR1	TRRUST	22431919	1
NR2F2	HNF4A	Fastforward	11585914	1
STAT5A	STK11	TRRUST	24913037	1
SP1	PRM1	TRRUST	18721868	1
RELA	TNFSF14	TRRUST	21243522	1
MYC	HIST1H4J	HTRI	12695333	1
ATF4	CHAC1	TRRUST	21737788	1
YY1	ATP2C1	TRRUST	15955096	1
EZH2	ADRB2	TRRUST	17996646	1
CEBPA	VIP	PAZAR	7713908	1
ERG	TMPRSS2	TRRUST	24418414	1
RELA	PPIG	TRRUST	19928584	1
ELF1	CYBB	TRRUST	10233904	1
FOXO3	DAB2	TFacTs	18239069	1
RUNX1	PIK3CD	TRRUST	19638627	1
FOXA2	SOX14	Fastforward|TRRUST	20074681|20074681	1
MYC	SURF6	HTRI	12695333	1
PPARA	IL6	TRRUST	15001458	1
GATA3	CDX2	TRRUST	19700764	1
CEBPB	VIP	PAZAR	7713908	1
FOXO1	IGFBP1	HTRI|Fastforward|TFacTs|TRRUST	10385407|10102273|10358014|7532283|9322942|12011061|12413892|7688722||17609436|15200677|15987820|21401636|23603247	14
SATB1	BCL2	TRRUST	20564216|21310710	2
SP3	TP53	Fastforward	12145335	1
TP53	TP53	HTRI|Fastforward|TRRUST	15908423|11032029|22532570|11032029|16990849	4
HSF1	NAT1	TRRUST	20176657	1
FOXA2	HNF1A	Fastforward	11043867	1
ZNF143	ESCO2	HTRI|TRRUST	20116366|20116366	1
ETS1	WAS	TRRUST	10066431	1
TP53	NME1	TRRUST	12669312	1
NFYA	GFI1B	TRRUST	19965638	1
FOXO3	ATP8A1	TFacTs	|12351634	2
STAT1	IL6	TRRUST	18616672	1
SP1	MMP2	HTRI|TRRUST	10506168|19061309|21469139|10506168|15317818|19853299|21045016	6
WT1	MYC	Fastforward|TRRUST	7585606|15286719|17634147|17634147|15286719	3
MYC	IER3	HTRI|TRRUST	12360408|12360408	1
E2F1	ATG12	TFacTs	|19657746	2
NR5A1	STARD7	TRRUST	21622533	1
SP1	MAT2A	TRRUST	11427482|11124935	2
BRCA1	BACH1	TRRUST	14576433	1
GATA6	CAV1	TRRUST	21514437	1
ESR1	NQO1	TRRUST	20623181	1
NFYA	TM7SF2	TFacTs	|20138239	2
LIMD1	HIF1A	TRRUST	22286099	1
HOXA10	IL15	TRRUST	20478621	1
MYC	HSPD1	HTRI	12695333	1
MYC	FXN	HTRI	12695333	1
YY1	EP300	ORegAnno	22951020	1
PGR	ATP1B1	TRRUST	22330642	1
SOX2	NANOG	Fastforward|TFacTs	19522013||15860457	3
CREBBP	RS1	TRRUST	18927113	1
USF1	HMOX1	HTRI|TRRUST	15242350|15242350	1
GATA2	TP53I3	ORegAnno	22951020	1
IRF1	PSMB9	TRRUST	18694960|10764778|10921891|16703666|9632673	5
E2F4	WDR76	HTRI	11799066	1
TP53	CDCA8	HTRI	16980608	1
FOS	VDR	Fastforward	11983707	1
PLAGL1	ABCC6	HTRI|TRRUST	18850323|18850323	1
MYC	MFAP1	HTRI	12747840	1
CEBPE	CTSG	ORegAnno|TRRUST	16019164|16019164	1
RELA	TLR2	TRRUST	12686724|19779021	2
RFX3	FGF1	TRRUST	22415835	1
NPAS2	CRY2	TRRUST	17660446	1
RARB	RARG	Fastforward	1320193	1
JUN	SPRR1B	TRRUST	11792626|12682075	2
USF1	RELA	TRRUST	19686049	1
GLI2	DLX5	TFacTs	|14691458	2
TAF4	CDKN1A	TRRUST	17996705	1
MYCN	SLC35A4	HTRI	16093321	1
HIF1A	HIF1A	TRRUST	14744852	1
XRCC5	NR3C1	Fastforward	8702520	1
FOXM1	BTG2	TRRUST	19615363	1
RELA	NFKB2	Fastforward	7541912	1
NR1H2	PCK2	TFacTs	|19258656	2
FOXO1	RPS6KA3	TFacTs	|12351634	2
NR0B2	PTGS2	TRRUST	21613300	1
TAL1	PTK2B	HTRI	20028976	1
NFKB1	TRIM21	TRRUST	23391827	1
TP63	CDC25C	HTRI	19861536	1
STAT3	BCL2L1	TRRUST	11369651|15184887|15805299|16651438|17880940|20069389|21435102|20067773|15469392|16384639|18222423|18790750|20654581|21172343|21344490	15
YY1	PSMB7	ORegAnno	22951020	1
HIF1A	AQP1	HTRI	21612401	1
HDAC9	PRL	TRRUST	12609987	1
SOX2	ABCC6	TRRUST	21531766	1
ELL	MDM2	TRRUST	15851483	1
TP53	VPS13B	HTRI	16980608	1
PAX5	CCND1	TRRUST	22105368	1
AR	CDK20	TRRUST	21747169	1
PPARG	NOTCH4	TRRUST	20436223	1
NFKB1	TF	TRRUST	12744731|22119392	2
TCF7L2	ACVRL1	TRRUST	20803090	1
TWIST2	RBL2	TRRUST	19051271	1
ATF4	IGFBP1	TRRUST	16687408	1
STAT3	PTPN6	TRRUST	14630083|16825495|21792937|15870198	4
SMAD4	POR	HTRI|TRRUST	21393444|21393444	1
TAL1	C3AR1	HTRI	20028976	1
RREB1	TP53	Fastforward	19558368	1
MYCN	MIR202	TRRUST	24337320	1
SP1	PDE6A	TRRUST	9770645	1
SNORA62	MB	ORegAnno	8330378	1
MYC	DDX18	HTRI|TRRUST	12747840|8861962	2
HDGF	CDH1	TRRUST	22247069	1
HOXA10	WT1	TRRUST	19017365	1
E2F4	IKBKG	ORegAnno	22951020	1
YBX1	ERBB3	TRRUST	19648825	1
STAT1	EIF2AK2	PAZAR	12396729	1
CDX2	LCT	HTRI|PAZAR|TRRUST	9148757|12459179|16301215|9148757	3
SP1	TPMT	HTRI|TRRUST	20350137|20350137	1
PARP1	SNAI1	TRRUST	21577210	1
TWIST2	CD44	TRRUST	17487558	1
YBX1	CXCR4	TRRUST	17072343	1
ELF3	SPRR1B	TRRUST	12682075	1
GTF3A	ACHE	ORegAnno	7829523	1
STAT4	SOCS3	TRRUST	14559241	1
JUN	CYP3A4	ORegAnno	14742674	1
GTF3A	TARBP2	Fastforward	16343534	1
WWTR1	IGFBP1	TRRUST	20164440	1
RELA	NR4A2	HTRI|Fastforward	20018891|11884470	2
STAT3	CISH	TRRUST	14630083	1
USF1	CXCR4	TRRUST	10229837	1
FOS	MMP7	TRRUST	11774399	1
NR1I2	RPL36AL	HTRI	19129222	1
SP1	FGL2	TRRUST	11170750	1
SPI1	VAV1	PAZAR	11835402	1
USF2	CD2	TRRUST	7929376	1
SKIL	SMAD7	HTRI|TRRUST	16442497|23154975	2
POU1F1	CGA	TRRUST	11081207	1
TRERF1	CD40	TRRUST	18652845	1
GATA1	BACE1	TRRUST	12815710	1
SP1	TCN2	HTRI|TRRUST	9774437|9632663|9774437	2
NR1I2	COPS3	HTRI	19129222	1
TCF4	VEGFA	TRRUST	15940626	1
HDAC1	CLDN7	TRRUST	19277896	1
E2F4	PEG10	TRRUST	18625225	1
TP63	JAG1	HTRI	11641404	1
CREB1	BRCA1	Fastforward	11704836|17434164	2
TP53	ELF4	TFacTs|TRRUST	|20805247|20805247	2
KLF5	CXCR4	TRRUST	19460858	1
FOXA2	AGR2	TRRUST	16222343	1
ENO1	PTGS2	TRRUST	19846662	1
TP53	PTEN	TRRUST	17344317|11545734	2
NFKB1	TERT	TRRUST	18541630	1
SPI1	BPI	PAZAR|TRRUST	14623259|14623259	1
USF2	FBP1	TRRUST	11023824	1
FOXO3	BTG1	HTRI	18226221	1
MYCN	ITPR2	HTRI	16093321	1
NFKB1	TNFRSF13C	TRRUST	20025535	1
FOSL1	MMP12	HTRI	12622720	1
MYC	CDC34	TRRUST	21252116	1
TWIST1	CTPS1	TRRUST	19051271	1
AR	PTEN	TRRUST	23418309|20729295|21532617	3
SF1	AMH	TRRUST	11097782|9774680	2
MEF2A	SOST	TRRUST	17696759	1
NPAS2	CRY1	TRRUST	17660446	1
JUNB	IL4	TRRUST	21799768	1
SATB2	TP63	TRRUST	21965674	1
SP1	KCNQ2	TRRUST	20926649	1
SP3	TFAP2C	Fastforward	12733991	1
TP53	RRM1	ORegAnno|PAZAR	15843459|15843459	1
CTNNB1	JUN	TRRUST	20300972|19671687	2
CLOCK	BHLHE40	Fastforward|TRRUST	12354771|19032342	2
SATB1	GATA3	TRRUST	20126258	1
REL	IRF4	Fastforward	14581002	1
RB1	PPARG	TRRUST	20971808	1
MITF	ITGA4	TFacTs	1999537	1
NRF1	SNRPN	TRRUST	16116039	1
E2F1	ATG10	TFacTs	|19657746	2
IRF3	IRF7	Fastforward|TRRUST	15664995|20483755	2
GLI2	BCL6	TFacTs	|14691458	2
FOXE1	MSX1	TRRUST	21177256	1
MBD1	ALOX5	TRRUST	19781662	1
TWIST1	MAPK1	TRRUST	23222305	1
JUN	NOS2	TRRUST	12788789|9776360|14962367	3
NEUROD2	CDKN2A	HTRI	19340300	1
RELA	TBX21	TRRUST	17407192	1
RELB	RELB	Fastforward	11753650	1
KAT2B	NPAS2	TRRUST	14645221	1
RXRA	FABP2	HTRI	17396233	1
NFKB2	CCND2	TRRUST	18504428	1
NFYA	TP63	Fastforward	17903252	1
RELA	CARM1	TRRUST	20462455	1
ATF1	BRCA1	Fastforward	11704836	1
AR	MED1	TRRUST	17483314	1
SP3	HMGA2	TRRUST	11802722	1
IRF1	CDK2	TRRUST	22200613	1
JUN	UGT2B15	HTRI|TRRUST	19487245|19487245	1
TP53	GC	TRRUST	8642300	1
CEBPE	PROC	ORegAnno	15933209	1
EGR1	ACHE	ORegAnno|TRRUST	7829523|7559515	2
JUN	MELTF	TRRUST	8836133	1
HNF1B	SLC22A8	PAZAR	16793932	1
RELA	HDAC1	TRRUST	23027620	1
STAT1	EARS2	ORegAnno	22951020	1
HDAC1	EGFR	TRRUST	22025675	1
KLF6	LTC4S	TRRUST	10722737	1
ESR1	CRH	PAZAR|TRRUST	8408641|12161509	2
NR1I2	PRLR	HTRI	19129222	1
NR5A1	PBX1	Fastforward|TRRUST	18984668|18984668	1
HIF1A	SERPINE1	TFacTs|TRRUST	|11877282|11877282|14567996|17570486	4
CDX2	UGT2B7	PAZAR	16788384	1
SPI1	IL10	HTRI	20072143	1
SOX2	FGF4	TRRUST	10801796	1
TFAP2A	GAST	TRRUST	2566164	1
ETS1	MMP13	TRRUST	22270366	1
HEY1	ACTA2	TRRUST	18239137	1
TP53	RAD51B	TRRUST	9878257	1
STAT3	DNMT1	TRRUST	16861352|21944426|19887607|23604529	4
NFYA	ESR1	Fastforward	17903252	1
SP3	CYP27A1	TRRUST	11867220	1
STAT3	ETV6	TRRUST	15229229	1
PPARGC1A	CYP7A1	TRRUST	16891307	1
MYC	HSP90AB1	TFacTs	|11983916	2
SKI	FHL2	TRRUST	14583455	1
CREB1	CASP8	TRRUST	18342014	1
STAT5A	IFNG	TRRUST	15528362	1
NKX2-1	STK11	TRRUST	23995788	1
JUN	IL5RA	TRRUST	9742933	1
RELA	CCL4	TRRUST	11342414	1
CREB1	UXT	HTRI|TRRUST	17761951|17761951	1
ESR1	CHAT	TRRUST	10037443	1
E2F3	TP53BP2	TFacTs	|15731768|15592436	3
RUNX3	MMP9	TRRUST	21128246	1
PPARG	CIITA	TRRUST	19358337|11861426|17611194	3
NFIL3	IL1B	HTRI|TRRUST	8547328|8547328	1
AR	ERBB3	TRRUST	21741601	1
MYC	IFRD2	HTRI	12695333	1
TP53	PAX5	TRRUST	21319196	1
HIF1A	ASS1	TRRUST	19934275	1
MYC	NTN3	HTRI	12695333	1
HOXC10	HOXB8	TRRUST	18534812	1
MYC	HSPA8	HTRI	12695333	1
RXRA	RXRA	HTRI	11036068	1
PITX1	TRIB2	TRRUST	21425961	1
RELA	CSF1	TRRUST	18566389|11949945	2
TCF3	IGFBP6	PAZAR	14737101	1
STAT3	CXCL8	TRRUST	17726017	1
NFKB1	BDKRB1	TRRUST	15705059	1
MYCN	SLC25A19	HTRI	16093321	1
ZBTB16	GFI1	TRRUST	19723763	1
JUND	IL3	TRRUST	8704203	1
SPI1	HCK	TRRUST	21993313	1
ABL1	CCND2	TRRUST	15509806	1
PLAGL1	PPARG	Fastforward	17178896	1
BCL6	CD80	TRRUST	12860928	1
TBP	LIN28B	TRRUST	23494474	1
JUN	PTGS2	HTRI|TRRUST	12057991|15772294|18294142|9620167|11278336|12057991|16339564|17556653|20237399	8
NUPR1	TP53	TRRUST	22858377	1
ESR1	RUNX2	TRRUST	11604227	1
JUN	TNC	TRRUST	9154819	1
TFAP2A	SLC19A1	TRRUST	12228234	1
CEBPB	IL6	TRRUST	10903137|8725624|11120852	3
PAX6	MMP2	PAZAR|TRRUST	17047041|17047041	1
HOXB7	MMP2	TRRUST	21183939	1
CEBPB	CYP19A1	HTRI|TRRUST	18182446|11994385|7635140|8603036	4
RELA	STC2	HTRI	18226221	1
MYC	CXCL2	HTRI	12695333	1
HIF1A	TIMP1	TFacTs	|10334664	2
FOXO1	CCNB1	TFacTs	|17609436	2
ABL1	CSF1	TRRUST	23418320|18619508	2
FOXO1	PDGFA	TRRUST	19244250	1
CTCF	BCL6	TRRUST	20733034	1
PREB	CD79A	PAZAR	11994467	1
CREB1	HLA-DOB	TRRUST	12938212	1
YY1	NF1	TRRUST	15763658	1
EZH2	PEBP1	TRRUST	22505648	1
SP1	IL10	HTRI|PAZAR|TRRUST	20072143|11278848|21309719|11278848|17202341	4
CEBPA	CSF1	TRRUST	9632776	1
HDAC7	ACTN4	TRRUST	16980305	1
STAT3	VIP	PAZAR|TFacTs	7595475|7713908|9642274|PMID: 11259431	4
FOS	NPPA	TRRUST	1530876	1
IKBKB	VCAM1	TRRUST	18600306	1
NR5A1	CYP11B2	TRRUST	21169726	1
MYC	FGFR4	HTRI	12695333	1
CEBPB	IL10	TRRUST	12493739	1
RB1	CDK1	TRRUST	8270002	1
MEF2D	JUN	Fastforward|TRRUST	7760790|8798771|12054430	3
GATA3	PACSIN1	HTRI	19559773	1
GATA2	AR	TRRUST	24423874	1
YBX1	MYCN	TRRUST	17072343	1
DDX5	H19	TRRUST	20966046	1
RFX5	HLA-DOB	TRRUST	11258423	1
JUN	CYP19A1	TRRUST	16810058	1
JUN	TERT	TRRUST	20842112	1
PPARG	ERO1A	TRRUST	18177270	1
RORC	IL17A	TRRUST	19578368	1
CIITA	COL1A1	TRRUST	16439692	1
STAT1	IDO1	PAZAR	7553221	1
FOXO1	NLK	TRRUST	23144700	1
TFDP1	TYMS	TRRUST	14618416	1
MYBL2	COL1A1	TRRUST	14613485	1
CEBPD	PTGS2	HTRI|TRRUST	10956548|7559624	2
SRF	MMP2	TRRUST	12654640	1
CTCF	DEFB123	ORegAnno	22951020	1
ESR1	BARD1	HTRI	17275994	1
ATF6	RTN3	TRRUST	17191123	1
FOXO1	MCM5	TFacTs	|17609436	2
HNF4A	MYC	TRRUST	23714368	1
STAT1	CEBPE	TRRUST	16918696	1
GLI2	MUC5AC	TRRUST	20972463	1
SP1	FN1	HTRI	8803927	1
STAT1	FGF2	TRRUST	23086340	1
RELA	GABPB2	HTRI	18226221	1
FUBP1	MYC	Fastforward|TRRUST	2211718|7713931|8125259|8649373|11239393|18193062|24117486	7
YY1	INO80	TRRUST	17721549	1
E2F1	IRF3	TFacTs|TRRUST	|19826915|21225257|21225257|22464952	4
ELL	BAX	TRRUST	15851483	1
FOXP3	BRCA1	TRRUST	23319807	1
E2F1	BORA	HTRI	15033491	1
ATF4	NDC80	TRRUST	17822787	1
SATB1	CDK4	TRRUST	22583549	1
GLI2	FOXF1	TRRUST	23034409|19360354	2
EWSR1	TGFBR2	TRRUST	10508522	1
TRERF1	LILRB4	TRRUST	18652845	1
NFKB1	HES1	TRRUST	17876798	1
MYC	MEN1	HTRI	12695333	1
E2F6	CHEK2	HTRI	12909625	1
TP53	SERTAD1	ORegAnno|PAZAR	15843459|15843459	1
PAX5	FCER2	TRRUST	12731041	1
GATA3	PF4	HTRI	19559773	1
GATA1	YBX1	Fastforward	12646178	1
ELF3	KRT4	TRRUST	10773884	1
FLI1	ID2	TRRUST	12447693	1
ESR1	CYP1B1	TRRUST	15126349	1
HDAC3	GTF2I	TRRUST	21549311	1
SPI1	PRTN3	PAZAR|TRRUST	8943304|10677505	2
TP63	TP63	Fastforward	14576823	1
ESR2	HOXA10	HTRI	17311863	1
NR1I2	CCM2L	HTRI	19129222	1
CREB1	AR	TRRUST	15994978|21457548	2
EZH2	HOXA7	HTRI	18460542	1
NFKB1	BIRC5	TRRUST	17553314|14739605|20126979	3
NFIL3	AREG	TRRUST	1620116	1
MEFV	TNNI1	ORegAnno	15933209	1
NFIC	FABP7	TRRUST	10896661|19540848|21771320	3
LMO2	NFATC1	TRRUST	22517897	1
SPDEF	MMP9	TRRUST	20550708|22761428	2
RUNX1	MECOM	TRRUST	22689058	1
SMAD3	SMAD7	HTRI|Fastforward|TRRUST	10823886|12761881|10753944|16714330|12761881|10559222|10823886	5
GATA6	DAB2	TRRUST	16024609	1
GFI1	NF1	TRRUST	14504408	1
NR2F2	E2F1	TRRUST	22734039	1
NEAT1	CXCL8	TRRUST	24507715	1
NFYB	TARBP2	Fastforward	16343534	1
POU2F2	ID2	TRRUST	24801987	1
AR	ARG2	TRRUST	20711410	1
PML	IFNB1	TRRUST	11042692	1
SOX9	DCC	TRRUST	19745029	1
FOXO1	NEK2	TFacTs	|17609436	2
RELA	IL1RN	TRRUST	20032313	1
NFKB1	SLC25A27	TRRUST	20385226	1
NFIA	TP53	PAZAR	8816507	1
ABL1	BAX	TRRUST	11753601	1
FOXO3	CBLB	TFacTs	|12351634	2
MYC	ATF3	TRRUST	21384303	1
PDX1	ONECUT1	Fastforward	15047618	1
TFAP2A	KISS1	TRRUST	16260418	1
KLF5	FASN	TRRUST	18774944	1
E2F3	PLK4	TFacTs	|18439978	2
JUN	BATF3	TRRUST	12087103	1
NFE2L2	CAT	TRRUST	22493435	1
TP73	TP73	Fastforward	11909952|12032848	2
NR2C1	EPO	HTRI	7891708	1
SRF	PLG	TRRUST	15514113	1
SREBF1	HK2	HTRI|TRRUST	14747281|14747281	1
KLF4	KRT19	TRRUST	10859317	1
VDR	IL10	HTRI|TRRUST	20691220|20691220	1
NFKB1	NFKB1	HTRI|Fastforward|TRRUST	14570916|8454856|8666258|9190210|19469019	5
RELA	BCL3	Fastforward|TRRUST	11387332|11387332	1
CEBPA	MAD1L1	TRRUST	21345218	1
ELK1	PDGFB	TRRUST	9690620	1
MYC	MCM7	HTRI	12695333	1
SP1	MAT2B	TRRUST	11337507	1
GATA3	SPART	HTRI	19559773	1
STAT2	SP100	Fastforward	8810287	1
STAT3	CFLAR	TRRUST	18222423	1
CTCF	CCL16	ORegAnno	22951020	1
VHL	HIF1A	TRRUST	11987242|11727931|19238077	3
GLI2	BMP7	TFacTs	|14691458	2
RARA	MUC5AC	TRRUST	11171071	1
RELA	IL18	TRRUST	15963597|17399992|10227974	3
HSF2	FOS	TRRUST	17915561	1
